model,strain,eval,Accuracy,Precision,Recall,F1,AUC,MCC,branch,family,model_base
LogReg_SNP,P9a,independent_test,0.738,0.675,0.9,0.771,0.808,0.506,SNP,classical,LogReg
mCNN_emb,C4,CV_random,0.612,0.608,0.559,0.579,0.665,0.222,embedding,deep,mCNN
mCNN_emb,C4,CV_group,0.5,0.495,0.643,0.521,0.545,0.066,embedding,deep,mCNN
mCNN_emb,C4,independent_test,0.652,0.623,0.748,0.679,0.736,0.314,embedding,deep,mCNN
mCNN_emb,C5,CV_random,0.756,0.308,0.236,0.26,0.606,0.125,embedding,deep,mCNN
mCNN_emb,C5,CV_group,0.718,0.155,0.124,0.133,0.491,-0.05,embedding,deep,mCNN
mCNN_emb,C5,independent_test,0.777,0.374,0.318,0.335,0.642,0.21,embedding,deep,mCNN
mCNN_emb,P9a,CV_random,0.641,0.63,0.679,0.651,0.694,0.285,embedding,deep,mCNN
mCNN_emb,P9a,CV_group,0.603,0.582,0.648,0.6,0.621,0.154,embedding,deep,mCNN
mCNN_emb,P9a,independent_test,0.575,0.565,0.6,0.581,0.575,0.153,embedding,deep,mCNN
mCNN_raw,C4,CV_random,0.577,0.581,0.677,0.589,0.628,0.179,DNA_tho,deep,mCNN
mCNN_raw,C4,CV_group,0.505,0.538,0.663,0.527,0.52,0.053,DNA_tho,deep,mCNN
mCNN_raw,C4,independent_test,0.534,0.516,0.86,0.645,0.643,0.103,DNA_tho,deep,mCNN
mCNN_raw,C5,CV_random,0.716,0.39,0.671,0.477,0.753,0.344,DNA_tho,deep,mCNN
mCNN_raw,C5,CV_group,0.648,0.282,0.672,0.38,0.698,0.2,DNA_tho,deep,mCNN
mCNN_raw,C5,independent_test,0.672,0.316,0.673,0.428,0.724,0.275,DNA_tho,deep,mCNN
mCNN_raw,P9a,CV_random,0.768,0.722,0.867,0.788,0.769,0.549,DNA_tho,deep,mCNN
mCNN_raw,P9a,CV_group,0.766,0.743,0.839,0.78,0.712,0.447,DNA_tho,deep,mCNN
mCNN_raw,P9a,independent_test,0.731,0.676,0.873,0.762,0.774,0.485,DNA_tho,deep,mCNN
mCNN_SNP,C4,CV_random,0.623,0.646,0.514,0.556,0.687,0.253,SNP,deep,mCNN
mCNN_SNP,C4,CV_group,0.565,0.546,0.503,0.457,0.575,0.095,SNP,deep,mCNN
mCNN_SNP,C4,independent_test,0.653,0.7,0.548,0.599,0.713,0.32,SNP,deep,mCNN
mCNN_SNP,C5,CV_random,0.757,0.392,0.46,0.402,0.72,0.272,SNP,deep,mCNN
mCNN_SNP,C5,CV_group,0.749,0.338,0.471,0.362,0.664,0.21,SNP,deep,mCNN
mCNN_SNP,C5,independent_test,0.743,0.389,0.691,0.494,0.776,0.37,SNP,deep,mCNN
mCNN_SNP,P9a,CV_random,0.604,0.659,0.478,0.522,0.684,0.229,SNP,deep,mCNN
mCNN_SNP,P9a,CV_group,0.587,0.658,0.416,0.444,0.597,0.128,SNP,deep,mCNN
mCNN_SNP,P9a,independent_test,0.639,0.661,0.59,0.602,0.723,0.292,SNP,deep,mCNN
MLP,C4,CV_random,0.658,0.655,0.636,0.643,0.729,0.317,embedding,deep,MLP
MLP,C4,CV_group,0.592,0.566,0.61,0.568,0.611,0.168,embedding,deep,MLP
MLP,C4,independent_test,0.605,0.587,0.665,0.623,0.648,0.213,embedding,deep,MLP
MLP,C5,CV_random,0.749,0.351,0.374,0.357,0.684,0.206,embedding,deep,MLP
MLP,C5,CV_group,0.735,0.224,0.321,0.26,0.609,0.078,embedding,deep,MLP
MLP,C5,independent_test,0.77,0.39,0.486,0.432,0.71,0.293,embedding,deep,MLP
MLP,P9a,CV_random,0.69,0.69,0.687,0.688,0.731,0.379,embedding,deep,MLP
MLP,P9a,CV_group,0.694,0.678,0.713,0.686,0.689,0.309,embedding,deep,MLP
MLP,P9a,independent_test,0.652,0.662,0.6,0.629,0.766,0.305,embedding,deep,MLP
MLP_SNP,C4,CV_random,0.699,0.692,0.69,0.688,0.78,0.401,SNP,deep,MLP
MLP_SNP,C4,CV_group,0.553,0.535,0.757,0.595,0.635,0.138,SNP,deep,MLP
MLP_SNP,C4,independent_test,0.735,0.724,0.747,0.735,0.763,0.472,SNP,deep,MLP
MLP_SNP,C5,CV_random,0.824,0.531,0.568,0.542,0.809,0.439,SNP,deep,MLP
MLP_SNP,C5,CV_group,0.795,0.351,0.208,0.241,0.677,0.146,SNP,deep,MLP
MLP_SNP,C5,independent_test,0.787,0.438,0.636,0.516,0.871,0.399,SNP,deep,MLP
MLP_SNP,P9a,CV_random,0.666,0.686,0.63,0.653,0.752,0.337,SNP,deep,MLP
MLP_SNP,P9a,CV_group,0.668,0.578,0.693,0.608,0.689,0.171,SNP,deep,MLP
MLP_SNP,P9a,independent_test,0.729,0.695,0.798,0.743,0.799,0.464,SNP,deep,MLP
RandomForest,C4,CV_random,0.632,0.629,0.589,0.606,0.697,0.264,embedding,classical,RandomForest
RandomForest,C4,CV_group,0.551,0.535,0.635,0.544,0.584,0.097,embedding,classical,RandomForest
RandomForest,C4,independent_test,0.689,0.657,0.767,0.708,0.744,0.384,embedding,classical,RandomForest
RandomForest,C5,CV_random,0.777,0.357,0.244,0.283,0.774,0.166,embedding,classical,RandomForest
RandomForest,C5,CV_group,0.79,0.253,0.228,0.238,0.746,0.116,embedding,classical,RandomForest
RandomForest,C5,independent_test,0.77,0.333,0.273,0.3,0.76,0.166,embedding,classical,RandomForest
RandomForest,P9a,CV_random,0.744,0.699,0.85,0.767,0.756,0.5,embedding,classical,RandomForest
RandomForest,P9a,CV_group,0.757,0.719,0.855,0.774,0.724,0.44,embedding,classical,RandomForest
RandomForest,P9a,independent_test,0.721,0.676,0.833,0.746,0.835,0.457,embedding,classical,RandomForest
RandomForest_SNP,C4,CV_random,0.673,0.68,0.624,0.649,0.777,0.347,SNP,classical,RandomForest
RandomForest_SNP,C4,CV_group,0.581,0.54,0.756,0.596,0.635,0.14,SNP,classical,RandomForest
RandomForest_SNP,C4,independent_test,0.738,0.733,0.733,0.733,0.77,0.475,SNP,classical,RandomForest
RandomForest_SNP,C5,CV_random,0.806,0.482,0.422,0.438,0.797,0.331,SNP,classical,RandomForest
RandomForest_SNP,C5,CV_group,0.82,0.431,0.485,0.441,0.66,0.33,SNP,classical,RandomForest
RandomForest_SNP,C5,independent_test,0.803,0.471,0.727,0.571,0.847,0.469,SNP,classical,RandomForest
RandomForest_SNP,P9a,CV_random,0.752,0.728,0.8,0.761,0.793,0.508,SNP,classical,RandomForest
RandomForest_SNP,P9a,CV_group,0.707,0.691,0.759,0.691,0.767,0.314,SNP,classical,RandomForest
RandomForest_SNP,P9a,independent_test,0.754,0.703,0.867,0.776,0.88,0.524,SNP,classical,RandomForest
SVM,C4,CV_random,0.64,0.632,0.624,0.625,0.708,0.283,embedding,classical,SVM
SVM,C4,CV_group,0.533,0.531,0.704,0.561,0.584,0.148,embedding,classical,SVM
SVM,C4,independent_test,0.705,0.667,0.8,0.727,0.74,0.42,embedding,classical,SVM
SVM,C5,CV_random,0.782,0.42,0.156,0.21,0.753,0.139,embedding,classical,SVM
SVM,C5,CV_group,0.811,0.0,0.0,0.0,0.705,-0.025,embedding,classical,SVM
SVM,C5,independent_test,0.803,0.333,0.091,0.143,0.784,0.091,embedding,classical,SVM
SVM,P9a,CV_random,0.727,0.704,0.775,0.736,0.762,0.46,embedding,classical,SVM
SVM,P9a,CV_group,0.698,0.655,0.782,0.692,0.741,0.336,embedding,classical,SVM
SVM,P9a,independent_test,0.705,0.676,0.767,0.719,0.783,0.415,embedding,classical,SVM
SVM_SNP,C4,CV_random,0.685,0.692,0.632,0.66,0.762,0.37,SNP,classical,SVM
SVM_SNP,C4,CV_group,0.546,0.539,0.701,0.553,0.631,0.127,SNP,classical,SVM
SVM_SNP,C4,independent_test,0.738,0.75,0.7,0.724,0.798,0.476,SNP,classical,SVM
SVM_SNP,C5,CV_random,0.814,0.512,0.289,0.362,0.81,0.283,SNP,classical,SVM
SVM_SNP,C5,CV_group,0.815,0.467,0.06,0.106,0.691,0.112,SNP,classical,SVM
SVM_SNP,C5,independent_test,0.836,0.545,0.545,0.545,0.869,0.445,SNP,classical,SVM
SVM_SNP,P9a,CV_random,0.677,0.675,0.683,0.678,0.753,0.356,SNP,classical,SVM
SVM_SNP,P9a,CV_group,0.67,0.729,0.62,0.59,0.672,0.242,SNP,classical,SVM
SVM_SNP,P9a,independent_test,0.738,0.694,0.833,0.758,0.797,0.486,SNP,classical,SVM
XGBoost,C4,CV_random,0.641,0.624,0.658,0.638,0.681,0.284,embedding,classical,XGBoost
XGBoost,C4,CV_group,0.525,0.515,0.695,0.555,0.602,0.068,embedding,classical,XGBoost
XGBoost,C4,independent_test,0.623,0.59,0.767,0.667,0.676,0.261,embedding,classical,XGBoost
XGBoost,C5,CV_random,0.785,0.375,0.222,0.271,0.744,0.168,embedding,classical,XGBoost
XGBoost,C5,CV_group,0.779,0.287,0.247,0.261,0.712,0.124,embedding,classical,XGBoost
XGBoost,C5,independent_test,0.803,0.429,0.273,0.333,0.735,0.232,embedding,classical,XGBoost
XGBoost,P9a,CV_random,0.739,0.695,0.85,0.764,0.741,0.494,embedding,classical,XGBoost
XGBoost,P9a,CV_group,0.74,0.7,0.851,0.756,0.713,0.419,embedding,classical,XGBoost
XGBoost,P9a,independent_test,0.77,0.75,0.8,0.774,0.858,0.543,embedding,classical,XGBoost
XGBoost_SNP,C4,CV_random,0.694,0.682,0.691,0.686,0.779,0.389,SNP,classical,XGBoost
XGBoost_SNP,C4,CV_group,0.6,0.549,0.836,0.641,0.661,0.191,SNP,classical,XGBoost
XGBoost_SNP,C4,independent_test,0.77,0.75,0.8,0.774,0.796,0.543,SNP,classical,XGBoost
XGBoost_SNP,C5,CV_random,0.826,0.53,0.378,0.429,0.792,0.347,SNP,classical,XGBoost
XGBoost_SNP,C5,CV_group,0.783,0.264,0.184,0.215,0.657,0.089,SNP,classical,XGBoost
XGBoost_SNP,C5,independent_test,0.836,0.545,0.545,0.545,0.882,0.445,SNP,classical,XGBoost
XGBoost_SNP,P9a,CV_random,0.698,0.686,0.733,0.707,0.798,0.399,SNP,classical,XGBoost
XGBoost_SNP,P9a,CV_group,0.716,0.699,0.801,0.718,0.726,0.332,SNP,classical,XGBoost
XGBoost_SNP,P9a,independent_test,0.738,0.684,0.867,0.765,0.867,0.495,SNP,classical,XGBoost
